NExScI Disposition,KOI Name,Kepler Name,Planet Radius,Stellar Radius,Metallicity,Stellar Mass
CANDIDATE,K02324.01,,1.550,1.000,0.000,1.000
CANDIDATE,K05418.01,,1.210,0.837,0.070,0.944
CANDIDATE,K07847.01,,3.930,1.618,-0.060,1.119
CONFIRMED,K01952.01,Kepler-341 c,1.880,1.111,0.140,0.957
CONFIRMED,K01952.02,Kepler-341 d,2.040,1.111,0.140,0.957
CONFIRMED,K01952.03,Kepler-341 b,1.180,1.111,0.140,0.957
CONFIRMED,K01952.04,Kepler-341 e,2.030,1.111,0.140,0.957
CONFIRMED,K04561.01,Kepler-1613 b,1.850,1.269,-0.180,1.063
FALSE POSITIVE,K08143.01,,2.650,0.945,-0.240,1.023
CANDIDATE,K03394.01,,1.790,1.076,0.070,1.169
CANDIDATE,K04325.01,,1.120,0.965,0.070,1.075
FALSE POSITIVE,K06042.01,,88.220,0.601,-1.000,0.685
CANDIDATE,K02848.01,,1.550,1.458,0.260,1.068
CANDIDATE,K01708.01,,5.000,1.534,0.120,1.023
FALSE POSITIVE,K06162.01,,59.200,1.083,-0.220,0.987
FALSE POSITIVE,K08269.01,,2.220,1.033,-0.360,1.035
FALSE POSITIVE,K06912.01,,24.930,1.035,-0.080,1.096
FALSE POSITIVE,K01460.01,,5.140,0.773,-0.160,0.854
CONFIRMED,K01921.01,Kepler-1015 b,3.710,1.904,0.120,1.412
FALSE POSITIVE,K07848.01,,2.600,0.859,-0.320,0.948
CONFIRMED,K01472.01,Kepler-857 b,6.310,0.938,0.140,0.966
CANDIDATE,K01808.01,,3.810,1.295,-0.060,1.061
CANDIDATE,K02663.01,,0.680,0.816,-0.240,0.911
FALSE POSITIVE,K08144.01,,1.820,0.810,0.200,0.781
FALSE POSITIVE,K03721.01,,51.440,1.194,-0.260,1.017
CONFIRMED,K00685.01,Kepler-644 b,3.070,1.584,0.140,1.337
CONFIRMED,K01840.01,Kepler-972 b,4.670,1.240,0.140,1.064
CANDIDATE,K01840.02,,20.910,1.240,0.140,1.064
CONFIRMED,K02869.01,Kepler-1375 b,1.430,1.438,0.160,1.279
FALSE POSITIVE,K00895.01,,10.950,0.975,-0.260,0.811
FALSE POSITIVE,K03322.01,,46.140,0.883,-0.240,0.972
CANDIDATE,K01527.01,,3.640,0.878,0.000,0.863
FALSE POSITIVE,K01709.01,,20.050,3.301,-0.260,1.463
FALSE POSITIVE,K06914.01,,158.500,4.167,-0.160,1.298
FALSE POSITIVE,K06915.01,,1.150,0.842,-0.320,0.839
CONFIRMED,K02778.01,Kepler-1342 b,1.700,0.901,-0.080,0.830
FALSE POSITIVE,K01467.01,,22.900,0.886,0.120,0.975
FALSE POSITIVE,K03706.01,,118.110,1.425,-0.120,1.228
CANDIDATE,K05426.01,,1.780,1.234,-0.500,0.898
CANDIDATE,K04797.01,,1.260,0.696,-0.260,0.677
CANDIDATE,K03339.01,,2.550,0.932,-0.520,0.763
FALSE POSITIVE,K04038.01,,1.060,0.983,-0.240,0.991
FALSE POSITIVE,K06916.01,,1.050,0.819,-0.180,0.814
FALSE POSITIVE,K03958.01,,1.140,0.998,-0.120,0.999
FALSE POSITIVE,K06043.01,,3.580,3.293,-0.120,1.682
FALSE POSITIVE,K03960.01,,1.970,0.863,-0.080,0.960
FALSE POSITIVE,K04075.01,,0.900,0.867,-0.240,0.958
FALSE POSITIVE,K04415.01,,1.210,0.864,-0.140,0.959
CANDIDATE,K04380.01,,1.700,1.884,-0.060,1.371
CANDIDATE,K04482.01,,0.780,1.293,-0.020,1.135
CONFIRMED,K00131.01,Kepler-471 b,10.630,1.307,0.160,1.304
CANDIDATE,K04725.01,,2.590,1.806,0.320,0.996
CANDIDATE,K07849.01,,0.840,0.962,-0.240,0.885
CONFIRMED,K02523.01,Kepler-1267 b,2.880,1.071,0.160,0.926
CANDIDATE,K02523.02,,1.800,1.071,0.160,0.926
CANDIDATE,K01842.01,,3.080,1.009,0.100,0.941
FALSE POSITIVE,K06163.01,,3.470,1.876,-0.100,1.420
FALSE POSITIVE,K06917.01,,42.060,0.702,-0.180,0.690
FALSE POSITIVE,K04903.01,,6.540,1.615,-0.020,1.216
FALSE POSITIVE,K05427.01,,40.940,1.064,-0.360,0.885
CANDIDATE,K04361.01,,3.390,0.972,-0.020,0.893
FALSE POSITIVE,K01449.01,,21.940,0.897,-0.520,0.851
CONFIRMED,K02247.01,Kepler-1157 b,0.790,0.612,-0.440,0.601
CONFIRMED,K01533.01,Kepler-886 b,1.600,1.259,0.100,1.026
CANDIDATE,K01943.01,,3.090,1.637,-0.120,1.109
CANDIDATE,K01477.01,,9.060,0.787,0.070,0.900
FALSE POSITIVE,K08145.01,,1.710,1.125,0.070,1.207
FALSE POSITIVE,K08145.02,,2.330,1.125,0.070,1.207
FALSE POSITIVE,K01482.01,,312.480,1.044,-0.140,1.099
FALSE POSITIVE,K03665.01,,33.300,1.000,0.000,1.000
FALSE POSITIVE,K00515.01,,25.270,0.805,-0.120,0.891
FALSE POSITIVE,K02881.01,,33.180,1.101,-0.200,1.136
FALSE POSITIVE,K06919.01,,1.090,0.675,0.120,0.668
FALSE POSITIVE,K03787.01,,10.300,0.918,0.000,0.924
CONFIRMED,K01710.01,Kepler-933 b,1.900,0.678,-0.560,0.758
FALSE POSITIVE,K02861.01,,1.400,1.023,-0.120,1.018
FALSE POSITIVE,K04227.01,,1.870,0.963,-0.200,1.038
FALSE POSITIVE,K06920.01,,64.040,1.174,-0.060,1.197
CANDIDATE,K06921.01,,1.190,1.062,-0.100,1.115
FALSE POSITIVE,K04028.01,,4.960,0.116,0.000,0.094
FALSE POSITIVE,K02938.01,,102.310,1.365,0.000,1.233
CONFIRMED,K00896.01,Kepler-248 c,4.140,0.837,0.340,0.937
CONFIRMED,K00896.02,Kepler-248 b,2.960,0.837,0.340,0.937
CANDIDATE,K00896.03,,1.510,0.837,0.340,0.937
CONFIRMED,K04268.01,Kepler-1579 b,0.590,0.505,-1.000,0.503
CANDIDATE,K02686.01,,3.430,0.686,0.000,0.743
CANDIDATE,K05433.01,,2.550,1.035,0.080,1.038
FALSE POSITIVE,K06044.01,,31.120,0.875,-0.400,0.761
FALSE POSITIVE,K01454.01,,379.630,0.847,-0.440,0.931
CONFIRMED,K00171.01,Kepler-116 b,3.260,1.439,0.020,1.123
CONFIRMED,K00171.02,Kepler-116 c,2.470,1.439,0.020,1.123
FALSE POSITIVE,K03804.01,,52.910,1.098,-0.580,0.929
CONFIRMED,K01456.01,Kepler-855 b,8.990,1.135,-0.120,0.946
CANDIDATE,K08270.01,,2.090,0.898,-0.120,0.934
CANDIDATE,K04528.01,,10.630,0.816,-0.400,0.739
CANDIDATE,K04630.01,,2.460,1.518,0.120,1.116
CANDIDATE,K07850.01,,3.000,1.028,0.320,1.116
CANDIDATE,K06164.01,,1.840,1.351,0.140,1.027
CANDIDATE,K05435.01,,1.710,0.777,0.240,0.855
FALSE POSITIVE,K00048.01,,59.310,1.940,-0.400,1.076
FALSE POSITIVE,K05436.01,,54.150,1.151,-0.640,0.914
FALSE POSITIVE,K06922.01,,50.130,1.463,-0.200,1.073
FALSE POSITIVE,K01464.01,,207.710,0.858,-0.120,0.853
CONFIRMED,K04169.01,Kepler-1561 b,0.850,0.863,-0.080,0.960
FALSE POSITIVE,K06165.01,,1192.790,35.695,-0.260,1.863
FALSE POSITIVE,K06165.02,,153.720,35.695,-0.260,1.863
FALSE POSITIVE,K03758.01,,26.650,0.927,-0.220,0.798
FALSE POSITIVE,K00516.01,,2.010,1.015,-0.200,0.934
FALSE POSITIVE,K07851.01,,1.430,1.494,-0.020,1.091
CONFIRMED,K01499.01,Kepler-865 b,2.350,0.885,-0.240,0.782
CANDIDATE,K01499.02,,0.620,0.885,-0.240,0.782
CANDIDATE,K01499.03,,0.890,0.885,-0.240,0.782
FALSE POSITIVE,K06045.01,,18.700,2.003,-0.020,1.202
FALSE POSITIVE,K01453.01,,50.750,0.931,-0.080,0.883
FALSE POSITIVE,K06923.01,,75.470,1.387,-0.100,1.109
FALSE POSITIVE,K04412.01,,1.170,2.106,-0.300,1.151
FALSE POSITIVE,K06924.01,,40.430,0.755,-0.300,0.845
CONFIRMED,K00897.01,Kepler-718 b,13.120,1.080,0.140,1.049
FALSE POSITIVE,K03360.01,,21.860,0.774,-0.140,0.816
CONFIRMED,K01525.01,Kepler-880 b,4.650,2.599,0.000,1.714
CANDIDATE,K01525.02,,2.870,2.599,0.000,1.714
CONFIRMED,K01818.01,Kepler-961 b,2.540,0.872,0.000,0.901
FALSE POSITIVE,K06926.01,,0.750,0.933,-0.200,0.986
FALSE POSITIVE,K04732.01,,0.850,0.841,-0.080,0.874
CONFIRMED,K00898.01,Kepler-83 b,2.230,0.509,-0.320,0.508
CONFIRMED,K00898.02,Kepler-83 d,1.660,0.509,-0.320,0.508
CONFIRMED,K00898.03,Kepler-83 c,2.250,0.509,-0.320,0.508
CONFIRMED,K01515.01,Kepler-303 b,0.870,0.490,-0.620,0.505
CONFIRMED,K01515.02,Kepler-303 c,1.230,0.490,-0.620,0.505
FALSE POSITIVE,K08146.01,,1.010,1.187,-0.240,0.993
CONFIRMED,K00202.01,Kepler-412 b,13.250,1.215,0.260,1.068
FALSE POSITIVE,K03816.01,,75.220,2.664,0.020,1.265
FALSE POSITIVE,K06046.01,,60.590,1.431,-0.380,1.096
FALSE POSITIVE,K03530.01,,68.380,0.905,0.070,1.021
CANDIDATE,K02760.01,,2.690,0.775,0.240,0.758
CANDIDATE,K02527.01,,0.550,0.600,-0.220,0.611
FALSE POSITIVE,K07852.01,,0.900,0.870,-0.260,0.913
FALSE POSITIVE,K07853.01,,2.200,0.951,-0.140,1.027
FALSE POSITIVE,K07854.01,,0.860,0.940,-0.020,1.032
FALSE POSITIVE,K06928.01,,0.690,1.211,-0.360,0.888
FALSE POSITIVE,K05439.01,,0.690,0.851,0.000,0.952
FALSE POSITIVE,K06929.01,,139.360,2.553,0.040,1.350
FALSE POSITIVE,K06930.01,,65.470,1.548,-0.600,0.986
CANDIDATE,K01964.01,,0.600,0.865,-0.060,0.914
CANDIDATE,K05440.01,,1.750,0.937,-0.320,1.011
FALSE POSITIVE,K08147.01,,22.360,7.619,0.100,2.124
FALSE POSITIVE,K03300.01,,2.190,0.904,0.020,1.002
FALSE POSITIVE,K03300.02,,1.610,0.904,0.020,1.002
FALSE POSITIVE,K07855.01,,2.720,0.704,-0.400,0.678
CANDIDATE,K04699.01,,1.080,1.336,0.100,1.162
FALSE POSITIVE,K07856.01,,9.820,4.842,0.070,3.246
CONFIRMED,K01486.01,Kepler-302 c,12.040,1.183,0.060,0.974
CONFIRMED,K01486.02,Kepler-302 b,3.650,1.183,0.060,0.974
FALSE POSITIVE,K03566.01,,54.240,1.134,-0.180,1.128
CANDIDATE,K02683.01,,4.490,0.795,-0.260,0.888
FALSE POSITIVE,K08148.01,,1.970,0.887,0.180,0.936
CANDIDATE,K05441.01,,1.250,0.986,-0.260,1.052
CANDIDATE,K04257.01,,2.100,1.763,-0.160,1.027
CONFIRMED,K01511.01,Kepler-872 b,1.630,0.853,-0.140,0.949
CANDIDATE,K03236.01,,1.180,2.074,0.100,1.443
CANDIDATE,K06931.01,,1.200,0.911,0.070,1.028
FALSE POSITIVE,K02761.01,,2.230,0.860,0.070,0.977
CANDIDATE,K04582.01,,0.350,0.883,-0.200,0.903
FALSE POSITIVE,K03018.01,,2.780,1.038,-0.100,0.860
FALSE POSITIVE,K02165.01,,1.020,0.870,-0.440,0.875
CANDIDATE,K00686.01,,12.430,0.980,0.060,0.925
CANDIDATE,K04773.01,,0.820,1.110,-0.160,1.004
CANDIDATE,K04773.02,,0.750,1.110,-0.160,1.004
CONFIRMED,K00899.01,Kepler-249 c,1.160,0.411,0.000,0.440
CONFIRMED,K00899.02,Kepler-249 b,0.910,0.411,0.000,0.440
CONFIRMED,K00899.03,Kepler-249 d,1.110,0.411,0.000,0.440
CANDIDATE,K04109.01,,1.480,1.755,0.210,0.944
CONFIRMED,K06166.01,Kepler-1642 b,5.410,1.514,0.210,0.937
CONFIRMED,K06166.02,Kepler-1642 c,4.810,1.514,0.210,0.937
FALSE POSITIVE,K03661.01,,33.140,0.794,-0.920,0.714
FALSE POSITIVE,K06047.01,,119.910,2.624,-0.040,1.800
FALSE POSITIVE,K05445.01,,1.080,0.820,-0.200,0.916
FALSE POSITIVE,K01817.01,,44.590,1.595,0.100,0.927
FALSE POSITIVE,K01770.01,,2637.600,97.410,-0.020,1.673
CANDIDATE,K04209.01,,2.350,0.702,-0.480,0.784
CANDIDATE,K02984.01,,1.120,1.356,0.280,1.269
CONFIRMED,K02095.01,Kepler-1091 b,1.500,1.064,0.160,1.037
FALSE POSITIVE,K07857.01,,1.300,2.396,-0.140,1.327
FALSE POSITIVE,K06932.01,,75.100,1.885,-0.080,1.137
FALSE POSITIVE,K07858.01,,0.820,1.116,-0.240,0.891
CONFIRMED,K05447.02,Kepler-1629 b,0.680,0.893,0.070,1.010
FALSE POSITIVE,K08149.01,,3.000,1.794,0.440,1.104
FALSE POSITIVE,K06933.01,,237.790,1.360,-0.220,1.064
CANDIDATE,K00900.01,,4.560,1.142,-0.040,1.009
FALSE POSITIVE,K05448.01,,0.790,0.609,-0.340,0.597
FALSE POSITIVE,K03974.01,,37.470,0.530,-0.100,0.556
CANDIDATE,K01581.01,,3.150,0.803,-0.160,0.877
CONFIRMED,K01581.02,Kepler-896 b,3.060,0.803,-0.160,0.877
CANDIDATE,K06934.01,,2.160,2.388,-0.120,1.197
FALSE POSITIVE,K06167.01,,21.370,0.798,-0.300,0.812
CANDIDATE,K00092.01,,2.780,1.043,-0.040,1.003
CANDIDATE,K05449.01,,41.020,0.976,0.140,0.854
FALSE POSITIVE,K05449.02,,24.740,0.976,0.140,0.854
FALSE POSITIVE,K06935.01,,91.910,2.058,-0.200,1.444
FALSE POSITIVE,K06936.01,,25.980,0.587,-1.020,0.585
CANDIDATE,K01968.01,,3.150,1.095,-0.060,1.143
CANDIDATE,K04759.01,,1.540,0.946,0.140,1.022
CONFIRMED,K00192.01,Kepler-427 b,13.430,1.373,-0.180,0.937
FALSE POSITIVE,K06937.01,,56.940,1.132,-0.360,1.045
CONFIRMED,K01553.01,Kepler-890 b,8.760,1.137,0.210,1.221
CANDIDATE,K07859.01,,0.930,0.786,-0.360,0.732
FALSE POSITIVE,K06938.01,,291.010,6.784,0.120,1.628
CONFIRMED,K01711.01,Kepler-934 b,2.190,0.808,0.140,0.806
FALSE POSITIVE,K08150.01,,2.220,1.500,-0.360,1.068
FALSE POSITIVE,K06939.01,,67.030,1.000,0.000,1.000
FALSE POSITIVE,K06940.01,,52.840,0.843,-0.560,0.844
CONFIRMED,K02274.01,Kepler-1170 b,2.480,0.810,0.140,0.910
CANDIDATE,K06941.01,,45.990,1.110,-0.120,1.009
FALSE POSITIVE,K07860.01,,0.600,1.102,-0.180,1.075
FALSE POSITIVE,K04050.01,,3.620,0.696,-0.080,0.722
FALSE POSITIVE,K06942.01,,43.680,0.919,-0.560,0.946
FALSE POSITIVE,K06943.01,,53.400,1.076,-0.280,1.051
FALSE POSITIVE,K06944.01,,51.060,0.997,-0.240,0.981
FALSE POSITIVE,K00184.01,,13.320,1.138,-0.100,1.169
FALSE POSITIVE,K00418.01,,9.940,0.813,-0.300,0.746
FALSE POSITIVE,K06945.01,,26.410,1.012,0.070,1.117
FALSE POSITIVE,K06946.01,,,,,
CANDIDATE,K00687.01,,3.130,1.687,0.240,1.136
CONFIRMED,K00459.01,Kepler-162 c,3.240,0.954,-0.300,0.875
CONFIRMED,K00459.02,Kepler-162 b,1.390,0.954,-0.300,0.875
CANDIDATE,K03214.01,,1.530,1.788,-0.100,1.127
CANDIDATE,K03214.02,,1.350,1.788,-0.100,1.127
FALSE POSITIVE,K03846.01,,24.730,0.917,-0.420,0.976
CANDIDATE,K01552.01,,9.400,0.755,0.020,0.734
CANDIDATE,K02400.01,,2.210,0.834,-0.320,0.920
FALSE POSITIVE,K06947.01,,67.050,1.358,-0.520,0.922
FALSE POSITIVE,K03219.01,,44.900,80.529,0.000,1.678
FALSE POSITIVE,K03536.01,,61.440,1.084,-0.200,0.969
FALSE POSITIVE,K06948.01,,73.800,1.423,-0.260,0.860
CANDIDATE,K02363.01,,0.970,0.722,-0.540,0.684
FALSE POSITIVE,K02151.01,,2.050,1.953,-0.620,0.983
CONFIRMED,K02594.01,Kepler-1286 b,2.420,1.118,-0.040,1.022
CANDIDATE,K05458.01,,2.190,0.782,0.100,0.821
CONFIRMED,K02328.01,Kepler-1192 b,2.420,0.921,0.000,1.016
FALSE POSITIVE,K06949.01,,1.240,2.003,-0.340,1.280
CONFIRMED,K00316.01,Kepler-139 b,2.620,1.143,0.340,1.025
CONFIRMED,K00316.02,Kepler-139 c,2.630,1.143,0.340,1.025
CANDIDATE,K00316.03,,2.110,1.143,0.340,1.025
FALSE POSITIVE,K06950.01,,29.770,1.022,-0.160,1.051
CONFIRMED,K00569.01,Kepler-185 c,1.940,0.803,0.160,0.811
CONFIRMED,K00569.02,Kepler-185 b,1.130,0.803,0.160,0.811
FALSE POSITIVE,K08271.01,,1.650,0.648,-0.100,0.707
CONFIRMED,K01569.01,Kepler-892 b,2.810,0.699,-0.100,0.738
FALSE POSITIVE,K01869.01,,4.790,2.163,-0.320,1.164
FALSE POSITIVE,K06951.01,,33.800,0.790,-0.340,0.733
CANDIDATE,K05459.01,,3.100,2.622,0.140,1.442
FALSE POSITIVE,K08151.01,,10.280,1.312,0.200,1.240
FALSE POSITIVE,K06952.01,,31.720,1.473,-0.280,0.960
CANDIDATE,K00901.01,,4.870,0.541,-0.140,0.563
CONFIRMED,K02352.01,Kepler-381 c,1.580,2.188,-0.320,1.198
CONFIRMED,K02352.02,Kepler-381 b,1.390,2.188,-0.320,1.198
CANDIDATE,K02352.03,,1.490,2.188,-0.320,1.198
CONFIRMED,K00517.01,Kepler-585 b,2.540,0.897,0.120,0.926
FALSE POSITIVE,K05460.01,,8.800,1.619,0.220,0.944
FALSE POSITIVE,K06953.01,,41.520,0.821,-0.360,0.908
CONFIRMED,K03286.01,Kepler-1456 b,1.410,0.602,-0.300,0.589
CANDIDATE,K06954.01,,0.910,1.597,-0.080,1.094
CONFIRMED,K00518.01,Kepler-174 b,2.090,0.651,-0.520,0.636
CONFIRMED,K00518.02,Kepler-174 c,1.560,0.651,-0.520,0.636
CONFIRMED,K00518.03,Kepler-174 d,2.290,0.651,-0.520,0.636
CANDIDATE,K00902.01,,4.780,0.509,-0.360,0.526
FALSE POSITIVE,K06048.01,,105.220,3.219,-0.480,1.503
FALSE POSITIVE,K06048.02,,,,,
CONFIRMED,K00519.01,Kepler-175 b,2.560,1.001,-0.020,1.079
CONFIRMED,K00519.02,Kepler-175 c,2.760,1.001,-0.020,1.079
CANDIDATE,K02674.01,,9.520,1.674,0.040,1.032
CONFIRMED,K02674.02,Kepler-1311 b,1.500,1.674,0.040,1.032
CONFIRMED,K02674.03,Kepler-1311 c,1.360,1.674,0.040,1.032
CANDIDATE,K08272.01,,1.140,1.009,-0.220,1.068
FALSE POSITIVE,K06049.01,,49.010,2.300,-0.140,1.239
CONFIRMED,K02615.01,Kepler-1290 b,1.490,0.959,-0.060,1.045
CONFIRMED,K00240.01,Kepler-502 b,4.140,1.049,-0.080,1.107
FALSE POSITIVE,K06955.01,,1.540,2.090,-0.140,1.548
FALSE POSITIVE,K08152.01,,1.460,0.526,-0.960,0.522
FALSE POSITIVE,K04147.01,,1.020,1.555,-0.760,0.821
FALSE POSITIVE,K05463.01,,44.460,1.355,0.240,1.028
CONFIRMED,K00155.01,Kepler-474 b,3.240,1.173,-0.080,0.927
FALSE POSITIVE,K03954.01,,2.170,0.883,-0.180,0.875
CONFIRMED,K03954.02,Kepler-1534 b,1.920,0.883,-0.180,0.875
CONFIRMED,K03984.01,Kepler-1537 b,2.030,1.449,0.240,0.939
CONFIRMED,K05466.01,Kepler-1631 b,1.750,0.963,0.100,1.056
CONFIRMED,K00520.01,Kepler-176 c,2.580,0.826,0.160,0.789
CONFIRMED,K00520.02,Kepler-176 b,1.610,0.826,0.160,0.789
CONFIRMED,K00520.03,Kepler-176 d,2.270,0.826,0.160,0.789
CONFIRMED,K00520.04,Kepler-176 e,1.510,0.826,0.160,0.789
CONFIRMED,K00903.01,Kepler-719 b,6.960,0.827,-0.340,0.914
FALSE POSITIVE,K06956.01,,1.230,1.269,-0.240,1.178
CONFIRMED,K00237.01,Kepler-500 b,2.600,1.030,0.000,0.963
CONFIRMED,K02304.01,Kepler-1182 b,1.640,0.914,-0.100,1.006
CANDIDATE,K06957.01,,0.760,0.937,-0.320,1.011
FALSE POSITIVE,K07861.01,,2.100,1.035,-0.080,1.096
FALSE POSITIVE,K03838.01,,25.430,0.815,-0.040,0.910
FALSE POSITIVE,K07862.01,,25.560,1.161,-0.300,1.188
FALSE POSITIVE,K03695.01,,27.470,0.802,-0.260,0.745
CONFIRMED,K00460.01,Kepler-559 b,4.030,1.107,0.160,0.896
FALSE POSITIVE,K01765.01,,14.180,0.817,-0.060,0.897
FALSE POSITIVE,K04812.01,,0.710,0.853,-0.100,0.950
FALSE POSITIVE,K06169.01,,1.070,1.070,-0.080,0.979
FALSE POSITIVE,K05469.01,,0.830,0.863,-0.120,0.959
FALSE POSITIVE,K04612.01,,1.620,0.870,-0.060,0.968
FALSE POSITIVE,K03523.01,,54.910,1.141,-0.560,0.852
FALSE POSITIVE,K01560.01,,11.180,0.998,-0.100,0.886
FALSE POSITIVE,K03092.01,,1.910,1.178,-0.120,1.200
FALSE POSITIVE,K03760.01,,35.530,0.865,-0.200,0.957
CONFIRMED,K04747.01,Kepler-1621 b,2.220,1.283,0.140,1.167
CONFIRMED,K03038.01,Kepler-1416 b,1.440,1.452,0.140,1.008
FALSE POSITIVE,K03640.01,,19.170,0.990,-0.140,0.866
FALSE POSITIVE,K01549.01,,16.610,0.901,-0.460,0.762
CANDIDATE,K04776.01,,1.070,0.871,-0.800,0.767
CONFIRMED,K00089.01,Kepler-462 b,3.370,1.790,-0.200,1.353
CANDIDATE,K00089.02,,4.520,1.790,-0.200,1.353
CONFIRMED,K03245.01,Kepler-1445 b,1.090,1.303,-0.160,1.009
CANDIDATE,K02411.01,,3.210,0.961,-0.260,0.922
CANDIDATE,K02486.01,,1.420,1.237,-0.280,1.048
FALSE POSITIVE,K02670.01,,24.400,1.324,0.000,1.063
FALSE POSITIVE,K05471.01,,52.340,0.832,0.000,0.924
FALSE POSITIVE,K02235.01,,1.880,0.688,-0.900,0.682
CONFIRMED,K00274.01,Kepler-128 b,1.420,1.613,-0.100,1.092
CONFIRMED,K00274.02,Kepler-128 c,1.290,1.613,-0.100,1.092
CANDIDATE,K03383.01,,2.090,0.818,-0.160,0.868
CONFIRMED,K01951.01,Kepler-1025 b,35.340,19.530,0.210,3.573
CONFIRMED,K03352.01,Kepler-1476 b,1.680,1.020,-0.020,1.005
FALSE POSITIVE,K06958.01,,115.450,1.620,-0.240,1.352
CANDIDATE,K01539.01,,29.800,1.074,-0.160,0.900
CONFIRMED,K02426.01,Kepler-1235 b,0.700,0.815,-0.060,0.914
CONFIRMED,K02619.01,Kepler-1292 b,1.710,0.963,0.210,1.079
CONFIRMED,K01570.01,Kepler-893 b,3.310,1.030,0.070,1.132
CANDIDATE,K04343.01,,1.730,1.305,-0.340,0.922
FALSE POSITIVE,K06959.01,,54.350,1.077,-0.420,0.980
CANDIDATE,K06960.01,,1.200,1.009,-0.100,1.079
CANDIDATE,K04881.01,,1.160,1.585,-0.340,1.127
FALSE POSITIVE,K04881.02,,1.160,1.585,-0.340,1.127
FALSE POSITIVE,K06961.01,,47.640,0.736,0.420,0.733
FALSE POSITIVE,K06962.01,,19.930,0.914,-0.100,1.000
FALSE POSITIVE,K06171.01,,64.150,0.965,-0.240,0.992
FALSE POSITIVE,K03619.01,,36.630,0.786,-0.240,0.880
CONFIRMED,K02743.01,Kepler-1332 b,1.320,0.880,0.000,0.907
CANDIDATE,K07587.01,,2.570,0.945,-0.240,0.948
FALSE POSITIVE,K06963.01,,40.300,0.959,-0.220,0.807
CANDIDATE,K04487.01,,0.720,0.783,0.070,0.896
FALSE POSITIVE,K06964.01,,71.490,1.037,-0.400,1.077
FALSE POSITIVE,K06965.01,,,,,
FALSE POSITIVE,K02008.01,,7.140,2.995,-0.580,1.420
CANDIDATE,K06966.01,,1.350,0.785,-0.260,0.878
CONFIRMED,K02338.01,Kepler-1196 b,2.720,0.978,0.140,0.977
FALSE POSITIVE,K03269.01,,428.620,1.055,-0.480,0.867
FALSE POSITIVE,K06967.01,,16.240,0.706,-0.540,0.790
CONFIRMED,K05475.01,Kepler-1632 b,2.410,1.286,-0.760,0.818
CANDIDATE,K05475.02,,0.970,1.286,-0.760,0.818
CANDIDATE,K05476.01,,2.520,1.183,0.140,0.967
FALSE POSITIVE,K00570.01,,4.060,1.108,-0.080,1.151
CANDIDATE,K07863.01,,0.520,0.878,-0.380,0.862
CONFIRMED,K00235.01,Kepler-499 b,2.040,0.804,0.140,0.896
CONFIRMED,K00162.01,Kepler-476 b,3.110,1.124,0.000,0.969
CANDIDATE,K04656.01,,1.390,1.692,-0.180,1.351
FALSE POSITIVE,K05478.01,,38.470,0.914,-0.100,1.006
FALSE POSITIVE,K08273.01,,2.340,0.847,-0.220,0.796
FALSE POSITIVE,K04501.01,,1.620,1.041,-0.160,0.968
FALSE POSITIVE,K07864.01,,3.760,2.597,-0.120,1.631
CANDIDATE,K07865.01,,61.490,1.772,-0.600,0.816
FALSE POSITIVE,K07866.01,,42.100,1.209,-0.020,0.999
CANDIDATE,K02504.01,,2.340,0.923,0.210,1.038
FALSE POSITIVE,K01550.01,,28.630,0.846,-0.160,0.938
FALSE POSITIVE,K06968.01,,52.930,0.897,-0.080,0.992
FALSE POSITIVE,K02030.01,,3.680,1.567,-0.040,1.024
CANDIDATE,K06969.01,,32.190,1.219,-0.320,1.131
FALSE POSITIVE,K07867.01,,38.240,0.683,-0.960,0.656
FALSE POSITIVE,K01542.01,,19.840,1.172,-0.540,1.103
CANDIDATE,K06970.01,,1.870,1.210,0.160,1.081
CONFIRMED,K00571.01,Kepler-186 c,1.140,0.443,-0.340,0.452
CONFIRMED,K00571.02,Kepler-186 d,1.290,0.443,-0.340,0.452
CONFIRMED,K00571.03,Kepler-186 b,0.970,0.443,-0.340,0.452
CONFIRMED,K00571.04,Kepler-186 e,1.150,0.443,-0.340,0.452
CONFIRMED,K00571.05,Kepler-186 f,1.180,0.443,-0.340,0.452
CANDIDATE,K06971.01,,2.010,0.809,0.140,0.781
FALSE POSITIVE,K06050.01,,38.190,0.901,-0.080,0.939
CONFIRMED,K00317.01,Kepler-521 b,3.020,1.403,0.340,1.324
CANDIDATE,K00317.02,,0.990,1.403,0.340,1.324
CANDIDATE,K03486.01,,1.630,0.889,-0.200,0.788
CONFIRMED,K01014.01,Kepler-749 b,2.040,0.502,-1.700,0.520
FALSE POSITIVE,K07868.01,,14.870,6.065,0.380,1.810
CANDIDATE,K02259.01,,2.460,0.967,-0.060,0.856
FALSE POSITIVE,K01752.01,,1.820,1.050,-0.160,0.998
FALSE POSITIVE,K01012.01,,3.780,0.893,-0.200,0.901
FALSE POSITIVE,K03713.01,,100.390,1.000,0.000,1.000
FALSE POSITIVE,K04314.01,,2.220,0.752,-0.340,0.841
FALSE POSITIVE,K04094.01,,57.360,69.001,-0.160,1.479
FALSE POSITIVE,K06974.01,,61.560,1.333,-0.240,0.953
FALSE POSITIVE,K04741.01,,1.180,1.016,-0.300,1.067
FALSE POSITIVE,K06975.01,,142.040,2.943,-0.620,1.013
FALSE POSITIVE,K08153.01,,39.590,0.958,-0.080,1.043
